"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.40",36,3,5,"5-15%","Strong (+++)","null","WP1_41.TPKo",40,"75_36_3_5_3558.jpg","5-15%"
"pko.hbn.1a.40",36,3,8,"5-15%","Strong (+++)","null","WP1_60.TPKo",40,"75_36_3_8_3527.jpg","5-15%"
"pko.hbn.1a.40",36,3,9,"0%","Neg (-)","null","WP1_69.TPKo",40,"75_36_3_9_3513.jpg","0%"
"pko.hbn.1a.40",36,4,1,">30%","Moderate (++)","null","WP1_2.TPKo",40,"75_36_4_1_3633.jpg","40-69%"
"pko.hbn.1a.40",36,4,11,">0% and <5%","Moderate (++)","null","WP1_89.TPKo",40,"75_36_4_11_3479.jpg","0-5%"
"pko.hbn.1a.40",36,4,12,"5-15%","Strong (+++)","null","WP1_98.TPKo",40,"75_36_4_12_3458.jpg","5-15%"
"pko.hbn.1a.40",36,4,13,">30%","Moderate (++)","null","WP1_108.TPKo",40,"75_36_4_13_3437.jpg","40-69%"
"pko.hbn.1a.40",36,4,3,">30%","Moderate (++)","null","WP1_22.TPKo",40,"75_36_4_3_3596.jpg","40-69%"
"pko.hbn.1a.40",36,4,4,"5-15%","Strong (+++)","null","WP1_32.TPKo",40,"75_36_4_4_3577.jpg","5-15%"
"pko.hbn.1a.40",36,4,6,"16-30%","Strong (+++)","null","WP1_51.TPKo",40,"75_36_4_6_3544.jpg","16-39%"
"pko.hbn.1a.40",36,4,8,"5-15%","Strong (+++)","null","WP1_60.TPKo",40,"75_36_4_8_3528.jpg","5-15%"
"pko.hbn.1a.40",36,5,1,"5-15%","Moderate (++)","null","WP1_3.TPKo",40,"75_36_5_1_3634.jpg","5-15%"
"pko.hbn.1a.40",36,5,10,"16-30%","Strong (+++)","null","WP1_80.TPKo",40,"75_36_5_10_3500.jpg","16-39%"
"pko.hbn.1a.40",36,5,11,">0% and <5%","Strong (+++)","null","WP1_89.TPKo",40,"75_36_5_11_3480.jpg","0-5%"
"pko.hbn.1a.40",36,5,2,"5-15%","Strong (+++)","null","WP1_13.TPKo",40,"75_36_5_2_3616.jpg","5-15%"
"pko.hbn.1a.40",36,5,3,">30%","Moderate (++)","null","WP1_23.TPKo",40,"75_36_5_3_3597.jpg","40-69%"
"pko.hbn.1a.40",36,5,4,"16-30%","Moderate (++)","null","WP1_32.TPKo",40,"75_36_5_4_3578.jpg","16-39%"
"pko.hbn.1a.40",36,5,5,"16-30%","Strong (+++)","null","WP1_42.TPKo",40,"75_36_5_5_3561.jpg","16-39%"
"pko.hbn.1a.40",36,5,6,"16-30%","Moderate (++)","null","WP1_51.TPKo",40,"75_36_5_6_3545.jpg","16-39%"
"pko.hbn.1a.40",36,6,10,"16-30%","Strong (+++)","null","WP1_80.TPKo",40,"75_36_6_10_3657.jpg","16-39%"
"pko.hbn.1a.40",36,6,11,">0% and <5%","Moderate (++)","null","WP1_90.TPKo",40,"75_36_6_11_3481.jpg","0-5%"
"pko.hbn.1a.40",36,6,13,"0%","Neg (-)","null","WP1_109.TPKo",40,"75_36_6_13_3442.jpg","0%"
"pko.hbn.1a.40",36,6,2,"5-15%","Moderate (++)","null","WP1_13.TPKo",40,"75_36_6_2_3617.jpg","5-15%"
"pko.hbn.1a.40",36,6,3,">30%","Strong (+++)","null","WP1_23.TPKo",40,"75_36_6_3_3598.jpg","40-69%"
"pko.hbn.1a.40",36,6,4,"5-15%","Moderate (++)","null","WP1_33.TPKo",40,"75_36_6_4_3579.jpg","5-15%"
"pko.hbn.1a.40",36,6,5,"16-30%","Moderate (++)","null","WP1_42.TPKo",40,"75_36_6_5_3562.jpg","16-39%"
"pko.hbn.1a.40",36,6,6,">0% and <5%","Strong (+++)","null","WP1_52.TPKo",40,"75_36_6_6_3546.jpg","0-5%"
"pko.hbn.1a.40",36,6,9,"16-30%","Strong (+++)","null","WP1_71.TPKo",40,"75_36_6_9_3658.jpg","16-39%"
"pko.hbn.1a.40",36,7,10,">30%","Strong (+++)","null","WP1_81.TPKo",40,"75_36_7_10_3497.jpg","40-69%"
"pko.hbn.1a.40",36,7,12,">30%","Moderate (++)","null","WP1_100.TPKo",40,"75_36_7_12_3463.jpg","40-69%"
"pko.hbn.1a.40",36,7,13,"0%","Neg (-)","null","WP1_109.TPKo",40,"75_36_7_13_3443.jpg","0%"
"pko.hbn.1a.40",36,7,2,"5-15%","Moderate (++)","null","WP1_14.TPKo",40,"75_36_7_2_3621.jpg","5-15%"
"pko.hbn.1a.40",36,7,3,"16-30%","Strong (+++)","null","WP1_24.TPKo",40,"75_36_7_3_3599.jpg","16-39%"
"pko.hbn.1a.40",36,7,4,"16-30%","Moderate (++)","null","WP1_33.TPKo",40,"75_36_7_4_3580.jpg","16-39%"
"pko.hbn.1a.40",36,7,5,"16-30%","Moderate (++)","null","WP1_43.TPKo",40,"75_36_7_5_3563.jpg","16-39%"
"pko.hbn.1a.40",36,7,6,"5-15%","Strong (+++)","null","WP1_52.TPKo",40,"75_36_7_6_3548.jpg","5-15%"
"pko.hbn.1a.40",36,7,8,">30%","Strong (+++)","null","WP1_62.TPKo",40,"75_36_7_8_3530.jpg","40-69%"
"pko.hbn.1a.40",36,7,9,">0% and <5%","Strong (+++)","null","WP1_71.TPKo",40,"75_36_7_9_3515.jpg","0-5%"
"pko.hbn.1a.40",36,8,10,">30%","Strong (+++)","null","WP1_81.TPKo",40,"75_36_8_10_3502.jpg","40-69%"
"pko.hbn.1a.40",36,8,11,"5-15%","Strong (+++)","null","WP1_91.TPKo",40,"75_36_8_11_3487.jpg","5-15%"
"pko.hbn.1a.40",36,8,12,">30%","Strong (+++)","null","WP1_100.TPKo",40,"75_36_8_12_3467.jpg","40-69%"
"pko.hbn.1a.40",36,8,13,"16-30%","Strong (+++)","null","WP1_110.TPKo",40,"75_36_8_13_3444.jpg","16-39%"
